NOMBRE_PROYECTO,ETAPA,FEC_OPCION,FECHA_DESISTIMIENTO,Entidad Financiera compra,MEDIO,VLR_VIVIENDA,PERIODO,PERIODO_AFILIADO,SEGMENTO_POBLACIONAL,CATEGORIA,RANGO_EDAD,NO_GRUPO_FAMILAR,NO_BENEFICIARIOS_CUOTA_MONETARIA,PIRAMIDE_NUEVA,EMPRESA_FOCO
INARI,1,6/21/2024,Si,Colsubsidio,Sin Informacion,"2,808,000,000,000",2024-6,2024-6,NU,ETA,20 - 35 años,,,GAMMA,
Conjunto Residencial Campo Alegre El Dorado,ETAPA 2,9/26/2024,No,Colsubsidio,Referido Alcaldía,"1,081,730,000,000",2024-9,2024-9,KAPPA,OMEGA,46 - 55 años,0,0,TAU,
Agrupación De Vivienda La Macarena,ETAPA 3,9/27/2024,No,Colsubsidio,Referido,"1,362,400,000,000",2024-9,2024-9,SIGMA,OMEGA,20 - 35 años,2,2,TAU,
AGRUPACIÓN DE VIVIENDA SAMÁN ,ETAPA 1,2/14/2025,No,Banco,Referido,"2,550,000,000,000",2025-2,2025-2,SIGMA,ETA,36 a 45 años,3,1,RHO,X
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,,6/16/2024,Si,Colsubsidio,Sin Informacion,"2,263,000,000,000",2024-6,2024-6,NU,ETA,20 - 35 años,,,GAMMA,X
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 3,4/24/2024,No,Banco,Banderas y/o señalización,"1,773,200,000,000",2024-4,2024-4,NU,OMEGA,20 - 35 años,,,GAMMA,
VILLA FIORITA,,4/17/2024,Si,Colsubsidio,Sin Informacion,"2,135,250,000,000",2024-4,2024-4,SIGMA,OMEGA,36 - 45 años,2,2,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 3,4/22/2024,No,Colsubsidio,Banderas y/o señalización,"1,365,000,000,000",2024-4,2024-4,SIGMA,OMEGA,46 - 55 años,,,TAU,
INARI,1,6/28/2024,Si,Banco,Sin Informacion,"2,217,000,000,000",2024-6,2024-6,NU,ETA,20 - 35 años,,,NU,
Agrupacion De Vivienda Payande,,6/28/2024,Si,Colsubsidio,Sin Informacion,"1,793,610,000,000",2024-6,2024-6,SIGMA,ETA,Mayor de 55 años,2,1,TAU,
Agrupacion De Vivienda Payande,ETAPA 3,6/29/2024,No,Banco,,"1,793,610,000,000",2024-6,2024-6,SIGMA,OMEGA,36 - 45 años,2,2,TAU,
Agrupación De Vivienda Monguí,ETAPA 2,2/27/2025,No,Banco,Banderas y/o señalización,"2,004,288,000,000",2025-2,2025-2,SIGMA,OMEGA,Mayor de 55 años,,,TAU,
Versalles,ETAPA 1,6/20/2024,No,Banco,Referido,"2,171,000,000,000",2024-6,2024-6,KAPPA,OMEGA,46 - 55 años,2,2,TAU,
Los Nogales,2,4/26/2024,Si,Contado,Sin Informacion,"5,791,188,500,000",2024-4,2024-4,KAPPA,OMEGA,36 - 45 años,,,TAU,
Agrupacion De Vivienda Payande,ETAPA 3,4/14/2025,No,Colsubsidio,Valla ,"1,649,375,000,000",2025-4,2025-4,SIGMA,OMEGA,20 a 35 años,1,1,GAMMA,
La Arboleda,ETAPA 1,10/19/2024,No,Banco,Banderas y/o señalización,"1,625,000,000,000",2024-10,2024-10,NU,ETA,20 - 35 años,,,TAU,
Agrupación De Vivienda La Macarena,ETAPA 4,7/5/2026,No,Colsubsidio,Banderas y/o señalización,"1,575,815,000,000",2026-7,2026-6,KAPPA,OMEGA,Menor de 19 años,,,NU,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 3,7/1/2026,No,Banco,Banderas y/o señalización,"2,190,000,000,000",2026-7,2026-6,NU,ETA,20 a 35 años,,,GAMMA,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,10/16/2024,No,Colsubsidio,Banderas y/o señalización,"2,101,000,000,000",2024-10,2024-10,KAPPA,OMEGA,46 - 55 años,1,1,TAU,
Los Nogales,1,2/11/2024,Si,Colsubsidio,Sin Informacion,"5,420,549,450,000",2024-2,2024-2,KAPPA,OMEGA,36 - 45 años,1,1,TAU,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 3,1/19/2025,No,Banco,Página web ,"1,853,611,050,000",2025-1,2025-1,NU,ETA,20 - 35 años,,,RHO,X
Agrupación De Vivienda La Macarena,ETAPA 3,5/29/2024,No,Banco,Referido,"1,534,533,000,000",2024-5,2024-5,KAPPA,OMEGA,36 - 45 años,2,1,NU,
Los Nogales,ETAPA 1,5/21/2024,No,Banco,Whatsapp,"5,725,220,000,000",2024-5,2024-5,SIGMA,TAU,36 - 45 años,2,,GAMMA,
Los Nogales,ETAPA 1,5/21/2024,No,Banco,Página web ,"5,859,910,000,000",2024-5,2024-5,SIGMA,TAU,36 - 45 años,2,,RHO,X
INARI,ETAPA 1,12/27/2024,No,Banco,Banderas y/o señalización,"2,506,000,000,000",2024-12,2024-12,KAPPA,OMEGA,36 - 45 años,3,2,NU,
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,1/22/2025,No,Banco,Whatsapp,"2,360,000,000,000",2025-1,2025-1,KAPPA,OMEGA,20 - 35 años,1,1,TAU,
Agrupación De Vivienda Monguí,ETAPA 1,3/15/2026,No,Colsubsidio,Banderas y/o señalización,"1,575,815,000,000",2026-3,2026-3,KAPPA,OMEGA,20 a 35 años,,,GAMMA,X
VERDE ESPERANZA EL DORADO,ETAPA 1,3/14/2026,No,Colsubsidio,Banderas y/o señalización,"1,753,000,000,000",2026-3,2026-3,SIGMA,OMEGA,46 a 55 años,,,GAMMA,
VERDE ESPERANZA EL DORADO,ETAPA 1,3/23/2026,No,Banco,Banderas y/o señalización,"1,753,000,000,000",2026-3,2026-3,KAPPA,OMEGA,36 a 45 años,3,2,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,3/28/2026,No,Banco,Banderas y/o señalización,"1,753,000,000,000",2026-3,2026-3,KAPPA,OMEGA,20 a 35 años,,,TAU,
Agrupación De Vivienda Monguí,ETAPA 2,3/14/2026,No,Colsubsidio,Banderas y/o señalización,"1,969,768,000,000",2026-3,2026-3,KAPPA,OMEGA,20 a 35 años,1,1,RHO,X
Agrupación De Vivienda Monguí,ETAPA 2,3/13/2026,No,Banco,Banderas y/o señalización,"1,785,923,000,000",2026-3,2026-3,SIGMA,OMEGA,36 a 45 años,,,RHO,X
VERDE ESPERANZA EL DORADO,ETAPA 1,3/19/2026,No,Banco,Banderas y/o señalización,"1,753,000,000,000",2026-3,2026-3,KAPPA,OMEGA,36 a 45 años,2,2,GAMMA,
ARAUCARIA,ETAPA 2,6/7/2026,No,Banco,Activación,"6,167,000,000,000",2026-6,2026-6,NU,TAU,20 a 35 años,,,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 1,3/22/2024,No,Banco,Página web ,"1,474,200,000,000",2024-3,2024-3,SIGMA,OMEGA,20 - 35 años,1,,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 1,3/7/2024,No,Banco,Banderas y/o señalización,"1,735,246,500,000",2024-3,2024-3,KAPPA,OMEGA,20 - 35 años,1,,ZETA,
Agrupacion De Vivienda Bosque De Arrayan,,3/17/2024,Si,Colsubsidio,Sin Informacion,"1,773,200,000,000",2024-3,2024-3,SIGMA,OMEGA,46 - 55 años,1,1,TAU,
Agrupación De Vivienda La Macarena,ETAPA 3,4/24/2026,No,Banco,Banderas y/o señalización,"1,575,815,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,2,2,RHO,X
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,4/26/2026,No,Banco,Ferias empresariales,"2,360,000,000,000",2026-4,2026-4,NU,ETA,20 a 35 años,,,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 3,4/25/2026,No,Colsubsidio,Banderas y/o señalización,"1,785,923,000,000",2026-4,2026-4,SIGMA,OMEGA,20 a 35 años,1,,GAMMA,
Agrupación De Vivienda Pamplona I,ETAPA 1,4/14/2026,No,Colsubsidio,Banderas y/o señalización,"2,180,000,000,000",2026-4,2026-4,NU,OMEGA,20 a 35 años,,,RHO,X
AGRUPACIÓN DE VIVIENDA SAMÁN ,ETAPA 1,4/26/2026,No,Banco,Ferias empresariales,"2,532,490,950,000",2026-4,2026-4,KAPPA,OMEGA,36 a 45 años,2,1,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 3,4/25/2026,No,Banco,Banderas y/o señalización,"1,584,569,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,,,TAU,
INARI,ETAPA 1,8/4/2025,No,Colsubsidio,Activación,"2,549,000,000,000",2025-8,2025-8,SIGMA,OMEGA,36 a 45 años,1,,NU,
La Arboleda,ETAPA 3,4/24/2026,No,Colsubsidio,Banderas y/o señalización,"2,233,450,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,2,2,ZETA,
VERDE ESPERANZA EL DORADO,ETAPA 1,4/26/2026,No,Colsubsidio,Banderas y/o señalización,"1,753,000,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,2,1,TAU,
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,4/25/2026,No,Banco,Ferias empresariales,"2,360,000,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,,,TAU,
La Arboleda,ETAPA 1,11/30/2024,No,Banco,Banderas y/o señalización,"1,638,448,500,000",2024-11,2024-11,KAPPA,OMEGA,20 - 35 años,2,1,RHO,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/24/2025,No,Banco,Valla ,"1,618,000,000,000",2025-9,2025-9,KAPPA,OMEGA,36 a 45 años,4,4,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 3,4/24/2026,No,Colsubsidio,Banderas y/o señalización,"1,785,923,000,000",2026-4,2026-4,KAPPA,OMEGA,36 a 45 años,1,1,GAMMA,
INARI,1,3/31/2025,Si,Banco,Sin Informacion,"2,506,000,000,000",2025-3,2025-3,KAPPA,OMEGA,20 a 35 años,2,2,GAMMA,
INARI,ETAPA 1,7/12/2024,No,Banco,Banderas y/o señalización,"2,808,000,000,000",2024-7,2024-7,SIGMA,OMEGA,36 - 45 años,3,3,TAU,
INARI,ETAPA 1,4/26/2026,No,Colsubsidio,Activación,"2,506,000,000,000",2026-4,2026-4,NU,ETA,20 a 35 años,,,RHO,
INARI,ETAPA 1,4/26/2026,No,Colsubsidio,Banderas y/o señalización,"2,808,000,000,000",2026-4,2026-4,SIGMA,OMEGA,46 a 55 años,2,1,GAMMA,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,4/25/2026,No,Banco,Banderas y/o señalización,"2,261,000,000,000",2026-4,2026-4,SIGMA,OMEGA,36 a 45 años,2,1,GAMMA,
Proyecto Karakalí,1,11/16/2024,Si,Banco,Sin Informacion,"2,451,267,000,000",2024-11,2024-11,KAPPA,OMEGA,20 - 35 años,,,TAU,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,,7/22/2024,Si,Colsubsidio,Sin Informacion,"2,263,000,000,000",2024-7,2024-7,NU,OMEGA,20 - 35 años,,,NU,
ARAUCARIA,ETAPA 2,4/26/2026,No,Banco,Banderas y/o señalización,"6,638,000,000,000",2026-4,2026-4,SIGMA,TAU,36 a 45 años,1,,GAMMA,
Versalles,ETAPA 1,3/20/2025,No,Banco,Ferias empresariales,"1,987,000,000,000",2025-3,2025-3,KAPPA,OMEGA,20 a 35 años,2,2,ZETA,
Proyecto Karakalí,ETAPA 1,3/26/2025,No,Banco,Referido,"2,451,267,000,000",2025-3,2025-3,NU,OMEGA,20 a 35 años,,,NU,
INARI,ETAPA 1,4/26/2026,No,Colsubsidio,Activación,"2,506,000,000,000",2026-4,2026-4,KAPPA,OMEGA,Mayor de 55 años,1,1,TAU,
Agrupación De Vivienda La Macarena,ETAPA 3,7/6/2024,No,Colsubsidio,Banderas y/o señalización,"1,493,700,000,000",2024-7,2024-7,SIGMA,OMEGA,36 - 45 años,,,TAU,
Proyecto Karakalí,ETAPA 1,4/25/2026,No,Banco,Banderas y/o señalización,"2,363,721,750,000",2026-4,2026-4,NU,OMEGA,20 a 35 años,,,TAU,
Agrupación De Vivienda Monguí,ETAPA 1,11/19/2024,No,Colsubsidio,Banderas y/o señalización,"1,695,200,000,000",2024-11,2024-11,SIGMA,OMEGA,20 - 35 años,1,1,TAU,
Agrupación De Vivienda Monguí,,10/4/2025,Si,Colsubsidio,Sin Informacion,"1,920,301,500,000",2025-10,2025-10,NU,OMEGA,20 a 35 años,,,RHO,X
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,11/29/2025,No,Banco,Valla ,"2,360,000,000,000",2025-11,2025-11,SIGMA,OMEGA,36 a 45 años,,,RHO,X
La Arboleda,ETAPA 1,10/7/2025,No,Colsubsidio,Whatsapp,"1,645,566,000,000",2025-10,2025-10,KAPPA,OMEGA,20 a 35 años,2,2,ZETA,
La Arboleda,ETAPA 3,11/19/2025,No,Banco,Whatsapp,"2,233,450,000,000",2025-11,2025-11,KAPPA,OMEGA,20 a 35 años,2,,RHO,X
Agrupación De Vivienda Monguí,ETAPA 1,11/16/2025,No,Banco,Banderas y/o señalización,"1,807,845,000,000",2025-11,2025-11,KAPPA,OMEGA,20 a 35 años,2,,RHO,X
Agrupación De Vivienda La Macarena,ETAPA 3,8/26/2024,No,Banco,Ferias empresariales,"1,498,900,000,000",2024-8,2024-8,SIGMA,OMEGA,36 - 45 años,1,1,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 3,8/27/2024,No,Banco,CS Soacha,"1,366,300,000,000",2024-8,2024-8,SIGMA,OMEGA,36 - 45 años,1,1,ZETA,
VERDE ESPERANZA EL DORADO,ETAPA 1,11/29/2025,No,Colsubsidio,Banderas y/o señalización,"1,578,000,000,000",2025-11,2025-11,SIGMA,ETA,20 a 35 años,1,,RHO,X
VERDE ESPERANZA EL DORADO,ETAPA 1,1/6/2026,No,Banco,Banderas y/o señalización,"1,753,000,000,000",2026-1,2026-1,KAPPA,OMEGA,46 a 55 años,3,1,TAU,
La Arboleda,ETAPA 3,1/17/2026,No,Colsubsidio,Banderas y/o señalización,"2,264,970,000,000",2026-1,2026-1,NU,OMEGA,36 a 45 años,,,TAU,
INARI,ETAPA 1,6/6/2024,No,Banco,Banderas y/o señalización,"2,808,000,000,000",2024-6,2024-6,NU,OMEGA,20 - 35 años,,,GAMMA,
INARI,ETAPA 1,6/16/2024,No,Banco,,"2,808,000,000,000",2024-6,2024-6,NU,OMEGA,20 - 35 años,,,ALPHA,
La Arboleda,3,6/30/2024,Si,Banco,Sin Informacion,"2,131,000,000,000",2024-6,2024-6,SIGMA,ETA,20 - 35 años,1,,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 3,6/21/2024,No,Banco,Ferias empresariales,"1,533,109,500,000",2024-6,2024-6,KAPPA,OMEGA,46 - 55 años,1,1,TAU,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,6/28/2024,No,Colsubsidio,Banderas y/o señalización,"2,311,000,000,000",2024-6,2024-6,SIGMA,ETA,20 - 35 años,2,1,TAU,
INARI,1,2/5/2025,Si,Colsubsidio,Sin Informacion,"2,808,000,000,000",2025-2,2025-2,KAPPA,OMEGA,36 a 45 años,,,TAU,
INARI,ETAPA 1,2/25/2025,No,Colsubsidio,Banderas y/o señalización,"2,808,000,000,000",2025-2,2025-2,NU,OMEGA,20 a 35 años,,,TAU,
Proyecto Karakalí,ETAPA 1,4/10/2025,No,Banco,Banderas y/o señalización,"2,451,267,000,000",2025-4,2025-4,NU,TAU,36 a 45 años,,,GAMMA,
La Arboleda,ETAPA 2,4/29/2025,No,Banco,Ferias empresariales,"1,769,410,500,000",2025-4,2025-4,KAPPA,OMEGA,20 a 35 años,1,1,RHO,X
CONJUNTO RESIDENCIAL VIBO ONCE,ETAPA 1,5/10/2026,No,Colsubsidio,Banderas y/o señalización,"2,813,000,000,000",2026-5,2026-5,NU,ETA,20 a 35 años,,,RHO,
Proyecto Karakalí,ETAPA 1,5/20/2026,No,Banco,Ferias empresariales,"2,363,721,750,000",2026-5,2026-5,NU,OMEGA,20 a 35 años,,,GAMMA,
La Arboleda,ETAPA 1,6/17/2024,No,Banco,,"1,634,100,000,000",2024-6,2024-6,SIGMA,OMEGA,20 - 35 años,1,,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,5/8/2026,No,Banco,Banderas y/o señalización,"1,753,000,000,000",2026-5,2026-5,KAPPA,OMEGA,20 a 35 años,1,1,TAU,
AGRUPACIÓN DE VIVIENDA SAMÁN ,ETAPA 1,5/17/2026,No,Banco,Banderas y/o señalización,"2,532,490,950,000",2026-5,2026-5,KAPPA,OMEGA,Mayor de 55 años,,,TAU,
Agrupación De Vivienda La Macarena,ETAPA 4,5/20/2026,No,Colsubsidio,Banderas y/o señalización,"1,584,569,000,000",2026-5,2026-5,SIGMA,OMEGA,46 a 55 años,,,ALPHA,
Versalles,ETAPA 1,6/30/2024,No,Colsubsidio,Referido,"1,987,000,000,000",2024-6,2024-6,SIGMA,OMEGA,20 - 35 años,1,1,GAMMA,
La Arboleda,,4/9/2024,Si,Banco,Sin Informacion,"1,727,700,000,000",2024-4,2024-4,SIGMA,OMEGA,36 - 45 años,1,,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 3,6/15/2025,No,Colsubsidio,Referido,"1,618,519,500,000",2025-6,2025-6,NU,ETA,20 a 35 años,,,GAMMA,
Versalles,ETAPA 1,2/7/2025,No,Banco,Referido,"2,171,000,000,000",2025-2,2025-2,KAPPA,OMEGA,Mayor de 55 años,,,TAU,
Agrupación De Vivienda Monguí,,6/30/2024,Si,Colsubsidio,Sin Informacion,"1,894,678,500,000",2024-6,2024-6,KAPPA,OMEGA,36 - 45 años,1,,TAU,
Versalles,ETAPA 1,6/27/2025,No,Banco,Banderas y/o señalización,"2,110,000,000,000",2025-6,2025-6,KAPPA,OMEGA,46 a 55 años,3,1,NU,
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,2/1/2025,No,Banco,Referido,"2,360,000,000,000",2025-2,2025-2,SIGMA,ETA,20 a 35 años,2,1,TAU,
Agrupación De Vivienda Pamplona I,ETAPA 4,2/23/2025,No,Banco,Referido,"2,361,000,000,000",2025-2,2025-2,KAPPA,OMEGA,36 a 45 años,7,4,TAU,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 2,6/14/2025,No,Banco,Banderas y/o señalización,"2,807,000,000,000",2025-6,2025-6,SIGMA,OMEGA,36 a 45 años,3,,TAU,
Agrupación De Vivienda Monguí,,4/27/2024,Si,Banco,Sin Informacion,"2,004,768,000,000",2024-4,2024-4,KAPPA,OMEGA,20 - 35 años,3,2,NU,
Agrupación De Vivienda La Macarena,ETAPA 3,2/21/2024,No,Colsubsidio,Banderas y/o señalización,"1,471,100,000,000",2024-2,2024-2,KAPPA,OMEGA,20 - 35 años,,,RHO,X
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,1/12/2025,No,Banco,Whatsapp,"2,360,000,000,000",2025-1,2025-1,SIGMA,OMEGA,36 - 45 años,1,1,RHO,X
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,12/8/2024,No,Banco,Banderas y/o señalización,"2,311,190,000,000",2024-12,2024-12,SIGMA,OMEGA,36 - 45 años,1,1,GAMMA,
Los Nogales,1,2/11/2024,Si,Banco,Sin Informacion,"5,215,580,240,000",2024-2,2024-2,SIGMA,ETA,Mayor de 55 años,2,,TAU,
RESERVA DEL NOGAL,UNICA,1/13/2025,No,Banco,Valla proyecto sala de ventas,"1,700,000,000,000",2025-1,2025-1,KAPPA,OMEGA,46 - 55 años,,,TAU,
Conjunto Residencial Campo Alegre El Dorado,,12/12/2024,Si,Banco,Sin Informacion,"1,118,728,650,000",2024-12,2024-12,KAPPA,OMEGA,36 - 45 años,2,2,TAU,
Agrupación De Vivienda Monguí,ETAPA 2,3/15/2026,No,Colsubsidio,Activación,"1,584,569,000,000",2026-3,2026-3,KAPPA,OMEGA,Menor de 19 años,,,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 2,3/14/2026,No,Banco,Activación,"1,785,923,000,000",2026-3,2026-3,KAPPA,OMEGA,20 a 35 años,3,2,NU,
Agrupación De Vivienda Monguí,ETAPA 2,3/14/2026,No,Colsubsidio,Activación,"1,785,923,000,000",2026-3,2026-3,SIGMA,ETA,36 a 45 años,1,1,ALPHA,
Agrupación De Vivienda La Macarena,ETAPA 4,3/2/2026,No,Banco,Banderas y/o señalización,"1,488,269,000,000",2026-3,2026-3,SIGMA,OMEGA,20 a 35 años,2,1,GAMMA,
INARI,ETAPA 1,6/29/2026,No,Colsubsidio,Activación,"2,916,000,000,000",2026-6,2026-6,KAPPA,OMEGA,Mayor de 55 años,2,2,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,12/23/2025,No,Colsubsidio,Banderas y/o señalización,"1,793,000,000,000",2025-12,2025-12,SIGMA,OMEGA,20 a 35 años,2,2,GAMMA,
La Arboleda,ETAPA 2,12/17/2025,No,Colsubsidio,Activación,"1,807,845,000,000",2025-12,2025-12,SIGMA,OMEGA,20 a 35 años,1,1,GAMMA,
ARAUCARIA,ETAPA 1,12/24/2025,No,Banco,Banderas y/o señalización,"5,988,000,000,000",2025-12,2025-12,SIGMA,TAU,36 a 45 años,,,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 1,3/19/2024,No,Banco,Whatsapp,"1,755,000,000,000",2024-3,2024-3,KAPPA,OMEGA,20 - 35 años,3,2,GAMMA,X
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 3,3/4/2024,No,Colsubsidio,Whatsapp,"1,773,200,000,000",2024-3,2024-3,NU,OMEGA,20 - 35 años,,,GAMMA,
INARI,1,3/26/2024,Si,Banco,Sin Informacion,"2,916,000,000,000",2024-3,2024-3,KAPPA,OMEGA,36 - 45 años,1,,TAU,
La Arboleda,3,8/24/2025,Si,Colsubsidio,Sin Informacion,"2,412,130,000,000",2025-8,2025-8,KAPPA,OMEGA,20 a 35 años,,,GAMMA,
INARI,1,8/3/2025,Si,Colsubsidio,Sin Informacion,"2,506,000,000,000",2025-8,2025-8,KAPPA,OMEGA,20 a 35 años,,,NU,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/30/2025,No,Banco,Banderas y/o señalización,"1,578,000,000,000",2025-9,2025-9,SIGMA,OMEGA,20 a 35 años,1,1,TAU,
Agrupación De Vivienda La Macarena,ETAPA 3,11/28/2024,No,Banco,Banderas y/o señalización,"1,537,380,000,000",2024-11,2024-11,NU,OMEGA,20 - 35 años,,,RHO,X
Los Nogales,ETAPA 2,3/29/2025,No,Banco,Whatsapp,"7,582,860,000,000",2025-3,2025-3,NU,TAU,20 a 35 años,,,RHO,X
Versalles,ETAPA 1,3/24/2025,No,Banco,Activación,"2,110,000,000,000",2025-3,2025-3,NU,OMEGA,20 a 35 años,,,GAMMA,
Agrupacion De Vivienda Fuentevida,ETAPA 2,3/25/2025,No,Banco,Referido Alcaldía,"1,281,150,000,000",2025-3,2025-3,KAPPA,OMEGA,20 a 35 años,5,4,GAMMA,
Agrupacion De Vivienda Fuentevida,ETAPA 2,3/31/2025,No,Colsubsidio,Referido Alcaldía,"1,281,150,000,000",2025-3,2025-3,KAPPA,OMEGA,46 a 55 años,1,,GAMMA,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/24/2025,No,Colsubsidio,Valla ,"1,578,000,000,000",2025-9,2025-9,SIGMA,ETA,20 a 35 años,1,1,RHO,X
Agrupacion De Vivienda Fuentevida,ETAPA 2,11/25/2024,No,Contado,Referido Alcaldía,"1,208,551,500,000",2024-11,2024-11,KAPPA,OMEGA,20 - 35 años,1,1,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/18/2025,No,Colsubsidio,Valla ,"1,578,000,000,000",2025-9,2025-9,KAPPA,OMEGA,36 a 45 años,1,1,TAU,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,10/27/2025,No,Banco,Banderas y/o señalización,"2,311,190,000,000",2025-10,2025-10,NU,ETA,20 a 35 años,,,RHO,X
Agrupación De Vivienda Monguí,ETAPA 2,1/15/2026,No,Banco,Banderas y/o señalización,"2,041,940,000,000",2026-1,2026-1,NU,OMEGA,20 a 35 años,,,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 2,1/30/2024,No,Banco,Whatsapp,"1,917,454,500,000",2024-1,2024-1,SIGMA,OMEGA,36 - 45 años,2,,RHO,
Agrupacion De Vivienda Payande,,7/11/2025,Si,Banco,Sin Informacion,"1,921,725,000,000",2025-7,2025-7,KAPPA,OMEGA,36 a 45 años,,,ZETA,
Agrupación De Vivienda La Macarena,3,1/19/2024,Si,Banco,Sin Informacion,"1,528,839,000,000",2024-1,2024-1,SIGMA,OMEGA,20 - 35 años,2,1,ZETA,
VILLA FIORITA,ETAPA 2,1/20/2024,No,Banco,Valla ,"1,950,000,000,000",2024-1,2024-1,SIGMA,OMEGA,20 - 35 años,1,1,NU,
ARAUCARIA,ETAPA 1,12/19/2025,No,Banco,Banderas y/o señalización,"6,106,000,000,000",2025-12,,PI,CHI,,,,XI,
INARI,ETAPA 1,5/18/2026,No,Colsubsidio,Activación,"2,506,000,000,000",2026-5,,PI,CHI,,,,XI,
Agrupacion De Vivienda Bosque De Arrayan,,6/13/2025,Si,Colsubsidio,Sin Informacion,"2,205,000,000,000",2025-6,,PI,CHI,,,,XI,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/29/2025,No,Banco,Banderas y/o señalización,"1,578,000,000,000",2025-9,,PI,CHI,,,,XI,
VILLA MERCEDES EL DORADO,ETAPA 1,2/24/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-2,,PI,CHI,,,,XI,
La Arboleda,ETAPA 1,5/30/2025,No,Banco,Banderas y/o señalización,"1,642,719,000,000",2025-5,,PI,CHI,,,,XI,
Los Nogales,2,4/24/2024,Si,Banco,Sin Informacion,"5,762,666,100,000",2024-4,,PI,CHI,,,,XI,
Versalles,ETAPA 1,6/15/2025,No,Banco,Activación,"2,110,000,000,000",2025-6,,PI,CHI,,,,XI,
VILLA MERCEDES EL DORADO,ETAPA 1,2/23/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-2,,PI,CHI,,,,XI,
Agrupación De Vivienda La Macarena,ETAPA 3,3/23/2026,No,Banco,Banderas y/o señalización,"1,619,569,000,000",2026-3,,PI,CHI,,,,XI,
Los Nogales,ETAPA 1,8/8/2024,No,Banco,Valla ,"5,709,156,300,000",2024-8,,PI,CHI,,,,XI,
INARI,1,3/14/2025,Si,Banco,Sin Informacion,"2,808,000,000,000",2025-3,,PI,CHI,,,,XI,
Agrupación De Vivienda La Macarena,ETAPA 4,5/3/2026,No,Banco,Banderas y/o señalización,"1,523,269,000,000",2026-5,,PI,CHI,,,,XI,
VILLA MERCEDES EL DORADO,ETAPA 1,2/21/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-2,,PI,CHI,,,,XI,
MIRADOR DEL VIRREY II,UNICA,1/22/2025,No,Banco,Banderas ,"1,700,000,000,000",2025-1,,PI,CHI,,,,XI,
Los Nogales,1,2/11/2024,Si,Colsubsidio,Sin Informacion,"5,512,124,350,000",2024-2,,PI,CHI,,,,XI,
Agrupación De Vivienda Monguí,ETAPA 1,6/13/2025,No,Banco,Referido,"1,750,905,000,000",2025-6,,PI,CHI,,,,XI,
Agrupación De Vivienda Monguí,ETAPA 3,4/21/2026,No,Banco,Banderas y/o señalización,"1,610,815,000,000",2026-4,,PI,CHI,,,,XI,
